State,1970,1980,1990,2000,2014-2018
Alabama,0.053,0.082,0.098,0.116,0.152
Alaska,0.135,0.189,0.192,0.21,0.239
Arizona,0.075,0.103,0.098,0.124,0.158
Arkansas,0.051,0.083,0.098,0.122,0.16
California,0.087,0.146,0.156,0.18,0.232
Colorado,0.091,0.172,0.198,0.25,0.318
Connecticut,0.12,0.186,0.25,0.275,0.351
Delaware,,,,,
District of Columbia,,,,,
Florida,0.062,0.089,0.108,0.118,0.145
Georgia,0.053,0.085,0.101,0.125,0.163
Hawaii,0.074,0.153,0.178,0.213,0.295
Idaho,0.086,0.14,0.151,0.18,0.225
Illinois,0.061,0.095,0.11,0.135,0.183
Indiana,0.058,0.087,0.1,0.12,0.164
Iowa,0.069,0.107,0.125,0.155,0.203
Kansas,0.086,0.126,0.145,0.176,0.218
Kentucky,0.052,0.079,0.091,0.113,0.158
Louisiana,0.063,0.093,0.103,0.119,0.147
Maine,0.073,0.132,0.16,0.194,0.249
Maryland,0.065,0.111,0.143,0.176,0.261
Massachusetts,0.108,0.197,0.26,0.315,0.4
Michigan,0.068,0.108,0.122,0.151,0.207
Minnesota,0.067,0.108,0.128,0.164,0.219
Mississippi,0.07,0.105,0.123,0.141,0.182
Missouri,0.058,0.086,0.102,0.125,0.168
Montana,0.095,0.161,0.185,0.231,0.3
Nebraska,0.067,0.114,0.134,0.169,0.221
Nevada,0.082,0.121,0.129,0.148,0.176
New Hampshire,0.106,0.177,0.225,0.262,0.334
New Jersey,,,,,
New Mexico,0.101,0.135,0.146,0.172,0.197
New York,0.083,0.12,0.143,0.166,0.223
North Carolina,0.058,0.091,0.113,0.143,0.193
North Dakota,0.064,0.116,0.139,0.173,0.233
Ohio,0.061,0.092,0.104,0.126,0.169
Oklahoma,0.082,0.124,0.143,0.163,0.198
Oregon,0.081,0.122,0.135,0.16,0.196
Pennsylvania,0.055,0.086,0.105,0.129,0.179
Rhode Island,,,,,
South Carolina,0.068,0.099,0.114,0.139,0.175
South Dakota,0.082,0.13,0.155,0.193,0.254
Tennessee,0.045,0.074,0.088,0.11,0.155
Texas,0.069,0.102,0.115,0.135,0.167
Utah,0.094,0.141,0.159,0.209,0.271
Vermont,0.104,0.178,0.223,0.27,0.34
Virginia,0.052,0.081,0.097,0.124,0.174
Washington,0.101,0.147,0.164,0.198,0.251
West Virginia,0.054,0.084,0.095,0.115,0.16
Wisconsin,0.067,0.108,0.124,0.156,0.212
Wyoming,0.111,0.165,0.18,0.219,0.273
