Code,State,Rural_Edu_1970,Rural_Edu_1976,Rural_Edu_1980,Rural_Edu_1984,Rural_Edu_1988,Rural_Edu_1990,Rural_Edu_1992,Rural_Edu_1996,Rural_Edu_2000,Rural_Edu_2004,Rural_Edu_2008,Rural_Edu_2012,Rural_Edu_2016,Rural_Edu_2018
1,Alabama,0.053,0.0704,0.082,0.0884,0.0948,0.098,0.1016,0.1088,0.116,0.124,0.132,0.14,0.148,0.152
2,Alaska,0.135,0.1674,0.189,0.1902,0.1914,0.192,0.1956,0.2028,0.21,0.2164,0.2229,0.2293,0.2358,0.239
4,Arizona,0.075,0.0918,0.103,0.101,0.099,0.098,0.1032,0.1136,0.124,0.1316,0.1391,0.1467,0.1542,0.158
5,Arkansas,0.051,0.0702,0.083,0.089,0.095,0.098,0.1028,0.1124,0.122,0.1304,0.1389,0.1473,0.1558,0.16
6,California,0.087,0.1224,0.146,0.15,0.154,0.156,0.1608,0.1704,0.18,0.1916,0.2031,0.2147,0.2262,0.232
8,Colorado,0.091,0.1396,0.172,0.1824,0.1928,0.198,0.2084,0.2292,0.25,0.2651,0.2802,0.2953,0.3104,0.318
9,Connecticut,0.12,0.1596,0.186,0.2116,0.2372,0.25,0.255,0.265,0.275,0.2919,0.3088,0.3257,0.3426,0.351
10,Delaware,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,District of Columbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Florida,0.062,0.0782,0.089,0.0966,0.1042,0.108,0.11,0.114,0.118,0.124,0.13,0.136,0.142,0.145
13,Georgia,0.053,0.0722,0.085,0.0914,0.0978,0.101,0.1058,0.1154,0.125,0.1334,0.1419,0.1503,0.1588,0.163
15,Hawaii,0.074,0.1214,0.153,0.163,0.173,0.178,0.185,0.199,0.213,0.2312,0.2494,0.2677,0.2859,0.295
16,Idaho,0.086,0.1184,0.14,0.1444,0.1488,0.151,0.1568,0.1684,0.18,0.19,0.2,0.21,0.22,0.225
17,Illinois,0.061,0.0814,0.095,0.101,0.107,0.11,0.115,0.125,0.135,0.1457,0.1563,0.167,0.1777,0.183
18,Indiana,0.058,0.0754,0.087,0.0922,0.0974,0.1,0.104,0.112,0.12,0.1298,0.1396,0.1493,0.1591,0.164
19,Iowa,0.069,0.0918,0.107,0.1142,0.1214,0.125,0.131,0.143,0.155,0.1657,0.1763,0.187,0.1977,0.203
20,Kansas,0.086,0.11,0.126,0.1336,0.1412,0.145,0.1512,0.1636,0.176,0.1853,0.1947,0.204,0.2133,0.218
21,Kentucky,0.052,0.0682,0.079,0.0838,0.0886,0.091,0.0954,0.1042,0.113,0.123,0.133,0.143,0.153,0.158
22,Louisiana,0.063,0.081,0.093,0.097,0.101,0.103,0.1062,0.1126,0.119,0.1252,0.1314,0.1377,0.1439,0.147
23,Maine,0.073,0.1084,0.132,0.1432,0.1544,0.16,0.1668,0.1804,0.194,0.2062,0.2184,0.2307,0.2429,0.249
24,Maryland,0.065,0.0926,0.111,0.1238,0.1366,0.143,0.1496,0.1628,0.176,0.1949,0.2138,0.2327,0.2516,0.261
25,Massachusetts,0.108,0.1614,0.197,0.2222,0.2474,0.26,0.271,0.293,0.315,0.3339,0.3528,0.3717,0.3906,0.4
26,Michigan,0.068,0.092,0.108,0.1136,0.1192,0.122,0.1278,0.1394,0.151,0.1634,0.1759,0.1883,0.2008,0.207
