Code,State,Urban_Edu_1970,Urban_Edu_1976,Urban_Edu_1980,Urban_Edu_1984,Urban_Edu_1988,Urban_Edu_1990,Urban_Edu_1992,Urban_Edu_1996,Urban_Edu_2000,Urban_Edu_2004,Urban_Edu_2008,Urban_Edu_2012,Urban_Edu_2016,Urban_Edu_2018
1,Alabama,0.089,0.1178,0.137,0.1534,0.1698,0.178,0.1858,0.2014,0.217,0.231,0.245,0.259,0.273,0.28
2,Alaska,0.155,0.197,0.225,0.2354,0.2458,0.251,0.254,0.26,0.266,0.277555556,0.289111111,0.300666667,0.312222222,0.318
4,Arizona,0.13,0.1594,0.179,0.1914,0.2038,0.21,0.2164,0.2292,0.242,0.254,0.266,0.278,0.29,0.296
5,Arkansas,0.082,0.1126,0.133,0.145,0.157,0.163,0.1708,0.1864,0.202,0.216666667,0.231333333,0.246,0.260666667,0.268
6,California,0.136,0.1726,0.197,0.2126,0.2282,0.236,0.2424,0.2552,0.268,0.282888889,0.297777778,0.312666667,0.327555556,0.335
8,Colorado,0.162,0.2088,0.24,0.2568,0.2736,0.282,0.2936,0.3168,0.34,0.356444444,0.372888889,0.389333333,0.405777778,0.414
9,Connecticut,0.138,0.18,0.208,0.234,0.26,0.273,0.2816,0.2988,0.316,0.332888889,0.349777778,0.366666667,0.383555556,0.392
10,Delaware,0.131,0.1574,0.175,0.1906,0.2062,0.214,0.2212,0.2356,0.25,0.264222222,0.278444444,0.292666667,0.306888889,0.314
11,District of Columbia,0.178,0.2362,0.275,0.2982,0.3214,0.333,0.3446,0.3678,0.391,0.432111111,0.473222222,0.514333333,0.555444444,0.576
12,Florida,0.104,0.1304,0.148,0.1632,0.1784,0.186,0.1944,0.2112,0.228,0.243333333,0.258666667,0.274,0.289333333,0.297
13,Georgia,0.106,0.1414,0.165,0.1862,0.2074,0.218,0.2288,0.2504,0.272,0.286444444,0.300888889,0.315333333,0.329777778,0.337
15,Hawaii,0.15,0.1872,0.212,0.2224,0.2328,0.238,0.2448,0.2584,0.272,0.285333333,0.298666667,0.312,0.325333333,0.332
16,Idaho,0.111,0.1476,0.172,0.1808,0.1896,0.194,0.203,0.221,0.239,0.250555556,0.262111111,0.273666667,0.285222222,0.291
17,Illinois,0.11,0.1484,0.174,0.1948,0.2156,0.226,0.2368,0.2584,0.28,0.298222222,0.316444444,0.334666667,0.352888889,0.362
18,Indiana,0.092,0.1202,0.139,0.153,0.167,0.174,0.1828,0.2004,0.218,0.233333333,0.248666667,0.264,0.279333333,0.287
19,Iowa,0.117,0.1518,0.175,0.1894,0.2038,0.211,0.2214,0.2422,0.263,0.279888889,0.296777778,0.313666667,0.330555556,0.339
20,Kansas,0.137,0.1778,0.205,0.2246,0.2442,0.254,0.2644,0.2852,0.306,0.322888889,0.339777778,0.356666667,0.373555556,0.382
21,Kentucky,0.089,0.1184,0.138,0.1524,0.1668,0.174,0.1828,0.2004,0.218,0.234444444,0.250888889,0.267333333,0.283777778,0.292
22,Louisiana,0.097,0.1288,0.15,0.1596,0.1692,0.174,0.1794,0.1902,0.201,0.213,0.225,0.237,0.249,0.255
23,Maine,0.093,0.1296,0.154,0.1764,0.1988,0.21,0.2188,0.2364,0.254,0.275777778,0.297555556,0.319333333,0.341111111,0.352
24,Maryland,0.142,0.1804,0.206,0.2308,0.2556,0.268,0.2782,0.2986,0.319,0.337,0.355,0.373,0.391,0.4
25,Massachusetts,0.126,0.1704,0.2,0.2292,0.2584,0.273,0.2848,0.3084,0.332,0.353777778,0.375555556,0.397333333,0.419111111,0.43
26,Michigan,0.099,0.1296,0.15,0.164,0.178,0.185,0.1946,0.2138,0.233,0.248777778,0.264555556,0.280333333,0.296111111,0.304
27,Minnesota,0.131,0.173,0.201,0.221,0.241,0.251,0.263,0.287,0.311,0.329444444,0.347888889,0.366333333,0.384777778,0.394
28,Mississippi,0.102,0.132,0.152,0.1648,0.1776,0.184,0.1886,0.1978,0.207,0.218777778,0.230555556,0.242333333,0.254111111,0.26
29,Missouri,0.101,0.1358,0.159,0.1774,0.1958,0.205,0.2138,0.2314,0.249,0.266333333,0.283666667,0.301,0.318333333,0.327
30,Montana,0.141,0.1764,0.2,0.2088,0.2176,0.222,0.2314,0.2502,0.269,0.283666667,0.298333333,0.313,0.327666667,0.335
31,Nebraska,0.127,0.1666,0.193,0.2094,0.2258,0.234,0.2444,0.2652,0.286,0.303555556,0.321111111,0.338666667,0.356222222,0.365
32,Nevada,0.113,0.134,0.148,0.1512,0.1544,0.156,0.162,0.174,0.186,0.200222222,0.214444444,0.228666667,0.242888889,0.25
