Code,State,Year,Republican Votes,Democrat Votes,Winner
1,AL,1976,504070,659170,BLUE
2,AK,1976,71555,44058, RED
4,AZ,1976,418642,295602, RED
5,AR,1976,267903,498604, BLUE
6,CA,1976,3882244,3742284, RED
8,CO,1976,584278,460801, RED
9,CT,1976,719261,647895, RED
10,DE,1976,109780,122461, BLUE
11,DC,1976,27873,137818, BLUE
12,FL,1976,1469531,1636000, BLUE
13,GA,1976,483743,979409, BLUE
15,HI,1976,140003,147375, BLUE
16,ID,1976,204151,126549, RED
17,IL,1976,2364269,2271295, RED
18,IN,1976,1183958,1014714, RED
19,IA,1976,632864,619931, RED
20,KS,1976,502752,430421, RED
21,KY,1976,531852,615717, BLUE
22,LA,1976,587446,661365, BLUE
23,ME,1976,236320,232279, RED
24,MD,1976,672661,759612, BLUE
25,MA,1976,1030276,1429475, BLUE
26,MI,1976,1893742,1696714, RED
27,MN,1976,819395,1070440, BLUE
28,MS,1976,366846,381329, BLUE
29,MO,1976,927443,998387, BLUE
30,MT,1976,173703,149259, RED
31,NE,1976,359219,233293, RED
32,NV,1976,101273,92479, RED
33,NH,1976,185935,147645, RED
34,NJ,1976,1509688,1444653, RED
35,NM,1976,211419,201148, RED
36,NY,1976,2825913,3244165, BLUE
37,NC,1976,741960,927365, BLUE
38,ND,1976,153684,136078, RED
39,OH,1976,2000626,2009959, BLUE
40,OK,1976,545708,532442, RED
41,OR,1976,492120,490407, RED
42,PA,1976,2205604,2328677, BLUE
44,RI,1976,181249,227636, BLUE
45,SC,1976,346149,450807, BLUE
46,SD,1976,151505,147068, RED
47,TN,1976,633969,825879, BLUE
48,TX,1976,1953300,2082319, BLUE
49,UT,1976,337908,182110, RED
50,VT,1976,100387,77798, RED
51,VA,1976,836554,813896, RED
53,WA,1976,777732,717323, RED
54,WV,1976,314726,435864, BLUE
55,WI,1976,1004987,1040232, BLUE
56,WY,1976,92717,62239, RED
1,AL,1980,654192,636730, RED
2,AK,1980,86112,41842, RED
4,AZ,1980,529688,246843, RED
5,AR,1980,403164,398041, RED
