STATE,NAME,SEX,AGE,POPESTIMATE2004
0,United States,0,0,4014258
0,United States,0,1,3953063
0,United States,0,2,3933735
0,United States,0,3,4008220
0,United States,0,4,3876609
0,United States,0,5,3829607
0,United States,0,6,3822089
0,United States,0,7,3850646
0,United States,0,8,3933161
0,United States,0,9,4018734
0,United States,0,10,4151951
0,United States,0,11,4207721
0,United States,0,12,4293550
0,United States,0,13,4350199
0,United States,0,14,4408259
0,United States,0,15,4264863
0,United States,0,16,4213762
0,United States,0,17,4167308
0,United States,0,18,4214061
0,United States,0,19,4242558
0,United States,0,20,4131771
0,United States,0,21,4180191
0,United States,0,22,4173077
0,United States,0,23,4192674
0,United States,0,24,4167847
0,United States,0,25,3981519
0,United States,0,26,3838225
0,United States,0,27,3801676
0,United States,0,28,3697495
0,United States,0,29,3788140
0,United States,0,30,3737940
0,United States,0,31,3790984
0,United States,0,32,4023788
0,United States,0,33,4257394
0,United States,0,34,4349395
0,United States,0,35,4127056
0,United States,0,36,4048580
0,United States,0,37,4051890
0,United States,0,38,4174027
0,United States,0,39,4473096
0,United States,0,40,4540929
0,United States,0,41,4540376
0,United States,0,42,4555019
0,United States,0,43,4610120
0,United States,0,44,4679182
0,United States,0,45,4486566
0,United States,0,46,4506067
0,United States,0,47,4465196
0,United States,0,48,4287486
0,United States,0,49,4319947
0,United States,0,50,4121104
0,United States,0,51,4010062
0,United States,0,52,3868188
0,United States,0,53,3782872
0,United States,0,54,3782442
0,United States,0,55,3618001
0,United States,0,56,3603856
0,United States,0,57,3763702
0,United States,0,58,2819754
0,United States,0,59,2801863
0,United States,0,60,2739059
0,United States,0,61,2848602
0,United States,0,62,2515357
0,United States,0,63,2335553
0,United States,0,64,2259557
0,United States,0,65,2148431
0,United States,0,66,2098650
0,United States,0,67,1975087
0,United States,0,68,1930847
0,United States,0,69,1920414
0,United States,0,70,1744903
0,United States,0,71,1747347
0,United States,0,72,1713793
0,United States,0,73,1691931
0,United States,0,74,1696130
0,United States,0,75,1581121
0,United States,0,76,1566753
0,United States,0,77,1501866
0,United States,0,78,1425682
0,United States,0,79,1385977
0,United States,0,80,1286733
0,United States,0,81,1189534
0,United States,0,82,1115106
0,United States,0,83,1023151
0,United States,0,84,913980
0,United States,0,85,4545883
0,United States,0,999,292805298
0,United States,1,0,2052042
0,United States,1,1,2020169
0,United States,1,2,2008411
0,United States,1,3,2045933
0,United States,1,4,1983939
0,United States,1,5,1957840
0,United States,1,6,1954556
0,United States,1,7,1966777
0,United States,1,8,2012719
0,United States,1,9,2059114
0,United States,1,10,2125852
0,United States,1,11,2156867
0,United States,1,12,2196464
0,United States,1,13,2227712
0,United States,1,14,2261079
0,United States,1,15,2188103
0,United States,1,16,2165214
0,United States,1,17,2146158
0,United States,1,18,2172313
0,United States,1,19,2187971
0,United States,1,20,2132862
0,United States,1,21,2156023
0,United States,1,22,2137442
0,United States,1,23,2123444
0,United States,1,24,2105148
0,United States,1,25,2010965
0,United States,1,26,1933949
0,United States,1,27,1910787
0,United States,1,28,1862479
0,United States,1,29,1909795
0,United States,1,30,1884720
0,United States,1,31,1901095
0,United States,1,32,2017316
0,United States,1,33,2128284
0,United States,1,34,2186941
0,United States,1,35,2069933
0,United States,1,36,2023152
0,United States,1,37,2017065
0,United States,1,38,2080137
0,United States,1,39,2231042
0,United States,1,40,2252988
0,United States,1,41,2248606
0,United States,1,42,2258953
0,United States,1,43,2279113
0,United States,1,44,2323552
0,United States,1,45,2215272
0,United States,1,46,2227648
0,United States,1,47,2199700
0,United States,1,48,2107717
0,United States,1,49,2130419
0,United States,1,50,2018146
0,United States,1,51,1961738
0,United States,1,52,1891504
0,United States,1,53,1845760
0,United States,1,54,1847897
0,United States,1,55,1758586
0,United States,1,56,1753133
0,United States,1,57,1830349
0,United States,1,58,1364399
0,United States,1,59,1352760
0,United States,1,60,1315754
0,United States,1,61,1365695
0,United States,1,62,1199144
0,United States,1,63,1108921
0,United States,1,64,1070816
0,United States,1,65,1015816
0,United States,1,66,986009
0,United States,1,67,922625
0,United States,1,68,895181
0,United States,1,69,883380
0,United States,1,70,796318
0,United States,1,71,791222
0,United States,1,72,769205
0,United States,1,73,752487
0,United States,1,74,744927
0,United States,1,75,686874
0,United States,1,76,671287
0,United States,1,77,633496
0,United States,1,78,588554
0,United States,1,79,559869
0,United States,1,80,509590
0,United States,1,81,464757
0,United States,1,82,425169
0,United States,1,83,381825
0,United States,1,84,329740
0,United States,1,85,1379299
0,United States,1,999,143828012
0,United States,2,0,1962216
0,United States,2,1,1932894
0,United States,2,2,1925324
0,United States,2,3,1962287
0,United States,2,4,1892670
0,United States,2,5,1871767
