Code,State,Age_Group_1976,Both_Sexes_1976
1,AL,0,168571
1,AL,1,120942
1,AL,2,298330
1,AL,3,298330
1,AL,4,75813
1,AL,4,77016
1,AL,4,77119
1,AL,4,76561
1,AL,4,75522
1,AL,4,76900
1,AL,5,73064
1,AL,5,70552
1,AL,5,67191
1,AL,5,63843
1,AL,5,63542
1,AL,6,303534
1,AL,7,227761
1,AL,8,196028
1,AL,9,196028
1,AL,10,196040
1,AL,11,196040
1,AL,12,178913
1,AL,13,64486
1,AL,13,44054
1,AL,13,53835
1,AL,14,138293
1,AL,15,106683
1,AL,16,75073
1,AL,17,43464
1,AL,18,35561
2,AK,0,22985
2,AK,1,14674
2,AK,2,36248
2,AK,3,36248
2,AK,4,8850
2,AK,4,8722
2,AK,4,8295
2,AK,4,8375
2,AK,4,7897
2,AK,4,9119
2,AK,5,10048
2,AK,5,9361
2,AK,5,8982
2,AK,5,8597
2,AK,5,8092
2,AK,6,38509
2,AK,7,37716
2,AK,8,26011
2,AK,9,26011
2,AK,10,18100
2,AK,11,18100
2,AK,12,12683
2,AK,13,3676
2,AK,13,2466
2,AK,13,1979
2,AK,14,3229
2,AK,15,2491
2,AK,16,1753
2,AK,17,1015
2,AK,18,830
4,AZ,0,119758
4,AZ,1,77599
4,AZ,2,182007
4,AZ,3,182007
4,AZ,4,47570
4,AZ,4,48531
4,AZ,4,47464
4,AZ,4,46781
4,AZ,4,45817
4,AZ,4,47585
4,AZ,5,46125
4,AZ,5,44803
4,AZ,5,43333
4,AZ,5,41253
4,AZ,5,41494
4,AZ,6,196687
4,AZ,7,152699
4,AZ,8,121593
4,AZ,9,121593
4,AZ,10,117308
4,AZ,11,117308
4,AZ,12,111048
4,AZ,13,40934
4,AZ,13,28598
4,AZ,13,33543
4,AZ,14,84953
4,AZ,15,65535
4,AZ,16,46117
4,AZ,17,26699
4,AZ,18,21845
5,AR,0,101600
5,AR,1,68357
5,AR,2,167286
5,AR,3,167286
5,AR,4,42874
5,AR,4,43175
5,AR,4,43053
5,AR,4,42337
5,AR,4,40195
5,AR,4,40304
5,AR,5,38057
5,AR,5,36920
5,AR,5,35621
5,AR,5,33431
5,AR,5,34836
5,AR,6,172037
5,AR,7,128825
5,AR,8,109069
5,AR,9,109069
5,AR,10,108484
5,AR,11,108484
5,AR,12,109833
5,AR,13,40852
5,AR,13,30044
5,AR,13,34950
5,AR,14,99115
5,AR,15,76460
5,AR,16,53806
5,AR,17,31151
5,AR,18,25487
6,CA,0,905356
6,CA,1,604344
6,CA,2,1630142
6,CA,3,1630142
6,CA,4,412289
6,CA,4,420091
6,CA,4,408642
6,CA,4,412581
6,CA,4,417544
6,CA,4,441004
6,CA,5,437548
6,CA,5,429041
6,CA,5,424560
6,CA,5,420907
6,CA,5,408911
6,CA,6,1944679
6,CA,7,1625278
6,CA,8,1215733
6,CA,9,1215733
6,CA,10,1200969
6,CA,11,1200969
6,CA,12,1072692
6,CA,13,369123
6,CA,13,246022
6,CA,13,280163
6,CA,14,756508
6,CA,15,583592
6,CA,16,410676
6,CA,17,237760
6,CA,18,194531
8,CO,0,119945
8,CO,1,79256
8,CO,2,200691
8,CO,3,200691
8,CO,4,52549
8,CO,4,53955
8,CO,4,51878
8,CO,4,51754
8,CO,4,54468
8,CO,4,57589
8,CO,5,56832
8,CO,5,54455
8,CO,5,54449
8,CO,5,53401
8,CO,5,53410
8,CO,6,257772
8,CO,7,194583
8,CO,8,146944
8,CO,9,146944
8,CO,10,132155
8,CO,11,132155
8,CO,12,112897
8,CO,13,38017
8,CO,13,25273
8,CO,13,28870
8,CO,14,77481
8,CO,15,59771
8,CO,16,42061
8,CO,17,24351
8,CO,18,19924
9,CT,0,107425
9,CT,1,79892
9,CT,2,239960
9,CT,3,239960
9,CT,4,59512
9,CT,4,60878
9,CT,4,59387
9,CT,4,60527
9,CT,4,57175
9,CT,4,56609
9,CT,5,54952
9,CT,5,53469
9,CT,5,51371
9,CT,5,50452
9,CT,5,49753
9,CT,6,242485
9,CT,7,214417
9,CT,8,164879
9,CT,9,164879
9,CT,10,181836
9,CT,11,181836
9,CT,12,174357
9,CT,13,61100
9,CT,13,39361
9,CT,13,44666
9,CT,14,116269
9,CT,15,89693
9,CT,16,63118
9,CT,17,36542
9,CT,18,29898
10,DE,0,24031
10,DE,1,17217
10,DE,2,46304
10,DE,3,46304
10,DE,4,12177
10,DE,4,12364
10,DE,4,12082
10,DE,4,12303
10,DE,4,13077
10,DE,4,13518
10,DE,5,12722
10,DE,5,11807
10,DE,5,11258
10,DE,5,10443
10,DE,5,10009
10,DE,6,46618
10,DE,7,40063
10,DE,8,32312
10,DE,9,32312
10,DE,10,33266
10,DE,11,33266
10,DE,12,30399
