CODE,State,SEX,AGE,POPESTIMATE2008
0,United States,0,0,4132735
0,United States,0,1,4100756
0,United States,0,2,4004146
0,United States,0,3,3992320
0,United States,0,4,4041170
0,United States,0,5,4024297
0,United States,0,6,3988117
0,United States,0,7,4073291
0,United States,0,8,3930544
0,United States,0,9,3913353
0,United States,0,10,4093680
0,United States,0,11,4055388
0,United States,0,12,4159477
0,United States,0,13,4200016
0,United States,0,14,4198094
0,United States,0,15,4318982
0,United States,0,16,4411176
0,United States,0,17,4467060
0,United States,0,18,4588123
0,United States,0,19,4425539
0,United States,0,20,4302988
0,United States,0,21,4251950
0,United States,0,22,4232792
0,United States,0,23,4237432
0,United States,0,24,4155450
0,United States,0,25,4246210
0,United States,0,26,4206583
0,United States,0,27,4265165
0,United States,0,28,4215620
0,United States,0,29,3969090
0,United States,0,30,3970191
0,United States,0,31,3828094
0,United States,0,32,3807761
0,United States,0,33,3907253
0,United States,0,34,3791506
0,United States,0,35,3908041
0,United States,0,36,4083819
0,United States,0,37,4291673
0,United States,0,38,4382157
0,United States,0,39,4151773
0,United States,0,40,4065710
0,United States,0,41,4090091
0,United States,0,42,4199463
0,United States,0,43,4495218
0,United States,0,44,4524541
0,United States,0,45,4499251
0,United States,0,46,4541484
0,United States,0,47,4606123
0,United States,0,48,4672955
0,United States,0,49,4501160
0,United States,0,50,4471128
0,United States,0,51,4464006
0,United States,0,52,4264599
0,United States,0,53,4306809
0,United States,0,54,4132932
0,United States,0,55,3949524
0,United States,0,56,3850704
0,United States,0,57,3733201
0,United States,0,58,3722427
0,United States,0,59,3558712
0,United States,0,60,3476545
0,United States,0,61,3694987
0,United States,0,62,2757325
0,United States,0,63,2744863
0,United States,0,64,2668775
0,United States,0,65,2751913
0,United States,0,66,2416007
0,United States,0,67,2235669
0,United States,0,68,2160024
0,United States,0,69,2030734
0,United States,0,70,1953328
0,United States,0,71,1841560
0,United States,0,72,1776463
0,United States,0,73,1758650
0,United States,0,74,1581331
0,United States,0,75,1541027
0,United States,0,76,1518327
0,United States,0,77,1472006
0,United States,0,78,1464084
0,United States,0,79,1350299
0,United States,0,80,1294601
0,United States,0,81,1232307
0,United States,0,82,1136851
0,United States,0,83,1086404
0,United States,0,84,980196
0,United States,0,85,5195840
0,United States,0,999,304093966
0,United States,1,0,2109846
0,United States,1,1,2095154
0,United States,1,2,2046268
0,United States,1,3,2039937
0,United States,1,4,2065739
0,United States,1,5,2056164
0,United States,1,6,2034499
0,United States,1,7,2077462
0,United States,1,8,2010918
0,United States,1,9,2002071
0,United States,1,10,2094239
0,United States,1,11,2072499
0,United States,1,12,2128173
0,United States,1,13,2151552
0,United States,1,14,2151718
0,United States,1,15,2217764
0,United States,1,16,2263348
0,United States,1,17,2299512
0,United States,1,18,2357770
0,United States,1,19,2267338
0,United States,1,20,2203034
0,United States,1,21,2176554
0,United States,1,22,2170281
0,United States,1,23,2169035
0,United States,1,24,2122142
0,United States,1,25,2161269
0,United States,1,26,2118708
0,United States,1,27,2124164
0,United States,1,28,2109285
0,United States,1,29,1995710
0,United States,1,30,2005304
0,United States,1,31,1918551
0,United States,1,32,1906803
0,United States,1,33,1954630
0,United States,1,34,1893638
0,United States,1,35,1951453
0,United States,1,36,2036234
0,United States,1,37,2131773
0,United States,1,38,2189534
0,United States,1,39,2070660
0,United States,1,40,2021855
0,United States,1,41,2031178
0,United States,1,42,2089575
0,United States,1,43,2236079
0,United States,1,44,2238412
0,United States,1,45,2218446
0,United States,1,46,2245998
0,United States,1,47,2271170
0,United States,1,48,2312020
0,United States,1,49,2216356
0,United States,1,50,2197224
0,United States,1,51,2189639
0,United States,1,52,2084700
0,United States,1,53,2113819
0,United States,1,54,2013539
0,United States,1,55,1913592
0,United States,1,56,1870156
0,United States,1,57,1807079
0,United States,1,58,1804202
0,United States,1,59,1717301
0,United States,1,60,1674280
0,United States,1,61,1783203
0,United States,1,62,1321417
0,United States,1,63,1313243
0,United States,1,64,1270827
0,United States,1,65,1303557
0,United States,1,66,1138633
0,United States,1,67,1048799
0,United States,1,68,1009620
0,United States,1,69,945830
0,United States,1,70,901774
0,United States,1,71,845857
0,United States,1,72,807647
0,United States,1,73,792997
0,United States,1,74,706721
0,United States,1,75,679687
0,United States,1,76,664284
0,United States,1,77,635582
0,United States,1,78,621852
0,United States,1,79,565841
0,United States,1,80,531699
0,United States,1,81,496116
0,United States,1,82,444700
0,United States,1,83,415006
0,United States,1,84,364892
0,United States,1,85,1662814
0,United States,1,999,149489951
0,United States,2,0,2022889
0,United States,2,1,2005602
0,United States,2,2,1957878
0,United States,2,3,1952383
0,United States,2,4,1975431
0,United States,2,5,1968133
0,United States,2,6,1953618
0,United States,2,7,1995829
0,United States,2,8,1919626
0,United States,2,9,1911282
0,United States,2,10,1999441
0,United States,2,11,1982889
0,United States,2,12,2031304
0,United States,2,13,2048464
0,United States,2,14,2046376
0,United States,2,15,2101218
0,United States,2,16,2147828
0,United States,2,17,2167548
0,United States,2,18,2230353
0,United States,2,19,2158201
0,United States,2,20,2099954
0,United States,2,21,2075396
0,United States,2,22,2062511
0,United States,2,23,2068397
0,United States,2,24,2033308
0,United States,2,25,2084941
0,United States,2,26,2087875
0,United States,2,27,2141001
0,United States,2,28,2106335
0,United States,2,29,1973380
0,United States,2,30,1964887
0,United States,2,31,1909543
0,United States,2,32,1900958
0,United States,2,33,1952623
0,United States,2,34,1897868
0,United States,2,35,1956588
0,United States,2,36,2047585
0,United States,2,37,2159900
0,United States,2,38,2192623
0,United States,2,39,2081113
0,United States,2,40,2043855
0,United States,2,41,2058913
0,United States,2,42,2109888
0,United States,2,43,2259139
0,United States,2,44,2286129
0,United States,2,45,2280805
0,United States,2,46,2295486
0,United States,2,47,2334953
0,United States,2,48,2360935
0,United States,2,49,2284804
0,United States,2,50,2273904
0,United States,2,51,2274367
0,United States,2,52,2179899
0,United States,2,53,2192990
0,United States,2,54,2119393
0,United States,2,55,2035932
0,United States,2,56,1980548
0,United States,2,57,1926122
0,United States,2,58,1918225
0,United States,2,59,1841411
0,United States,2,60,1802265
0,United States,2,61,1911784
0,United States,2,62,1435908
0,United States,2,63,1431620
0,United States,2,64,1397948
0,United States,2,65,1448356
0,United States,2,66,1277374
0,United States,2,67,1186870
0,United States,2,68,1150404
0,United States,2,69,1084904
0,United States,2,70,1051554
0,United States,2,71,995703
0,United States,2,72,968816
0,United States,2,73,965653
0,United States,2,74,874610
0,United States,2,75,861340
0,United States,2,76,854043
0,United States,2,77,836424
0,United States,2,78,842232
0,United States,2,79,784458
0,United States,2,80,762902
0,United States,2,81,736191
0,United States,2,82,692151
0,United States,2,83,671398
0,United States,2,84,615304
0,United States,2,85,3533026
0,United States,2,999,154604015
1,Alabama,0,0,63816
1,Alabama,0,1,60888
1,Alabama,0,2,60285
1,Alabama,0,3,59589
1,Alabama,0,4,60264
1,Alabama,0,5,59772
1,Alabama,0,6,60780
1,Alabama,0,7,63575
1,Alabama,0,8,61008
1,Alabama,0,9,61547
1,Alabama,0,10,64130
1,Alabama,0,11,62175
1,Alabama,0,12,64284
1,Alabama,0,13,64298
1,Alabama,0,14,64616
1,Alabama,0,15,67186
1,Alabama,0,16,67931
1,Alabama,0,17,68783
1,Alabama,0,18,71744
1,Alabama,0,19,69936
1,Alabama,0,20,67603
1,Alabama,0,21,66731
1,Alabama,0,22,66445
1,Alabama,0,23,65821
1,Alabama,0,24,62151
1,Alabama,0,25,62520
1,Alabama,0,26,61664
1,Alabama,0,27,65946
1,Alabama,0,28,62938
1,Alabama,0,29,58436
1,Alabama,0,30,58152
1,Alabama,0,31,56474
1,Alabama,0,32,56019
1,Alabama,0,33,58639
1,Alabama,0,34,57988
1,Alabama,0,35,59247
